"StateName","n_sites","n_records"
"All",633001,57516733
"Wisconsin",16488,13981304
"Idaho",12079,8576255
"Oregon",17540,6405041
"",22318,6031216
"Alaska",19594,4277537
"Florida",77139,3778619
"Minnesota",26733,1428362
"Maryland",10206,1238752
"Washington",14033,1117813
"California",26815,1047574
"Virginia",17634,1039072
"New Jersey",14973,865155
"North Carolina",9850,778094
"Colorado",25247,459524
"Georgia",8212,445654
"Michigan",9059,439584
"Alabama",7893,427321
"Utah",15852,364403
"South Dakota",20480,306479
"Texas",7831,298681
"South Carolina",4912,285269
"Montana",19600,229012
"North Dakota",11149,216428
"New York",11476,211269
"Arkansas",7104,210659
"Iowa",13446,187593
"Tennessee",10771,186184
"Unspecified",59,177377
"Indiana",16247,154575
"Pennsylvania",12126,152052
"Kansas",10333,147233
"Oklahoma",9338,143492
"Missouri",7482,142606
"Vermont",3030,131756
"Nebraska",6492,129367
"Mississippi",7131,114947
"Louisiana",8950,111877
"Arizona",16705,109575
"New Hampshire",4597,107047
"Ohio",9221,102756
"New Mexico",7985,102399
"Illinois",5823,100206
"Maine",4403,89651
"Kentucky",5251,89008
"Massachusetts",4787,81477
"Wyoming",7069,71437
"Nevada",6315,66272
"West Virginia",8732,57393
"Hawaii",2313,52054
"District of Columbia",305,44421
"Puerto Rico",2404,40531
"Delaware",1716,36304
"Connecticut",2759,27801
"Virgin Islands",703,26950
"Northern Mariana Islands",308,24968
"Tabasco",2,15600
"Guam",558,14886
"Rhode Island",804,7370
"Quebec",10,2844
"American Samoa",230,2489
"British Columbia",247,2110
"Saskatchewan",10,740
"Manitoba",3,568
"Ontario",19,560
"Alberta",4,380
"Tamulipas",2,284
"Veracruz-Llave",47,173
"Yukon Territories",16,144
"Palau",2,94
"Federated States Of Micronesia",9,36
"Coahuila",3,31
"Nova Scotia",10,24
"Marshall Islands",4,10
"New Brunswick",1,2
"Sonora",2,2
